disclosure_id,politician_name,chamber,ticker,transaction_type,transaction_date,disclosure_date,reporting_lag_days,amount_range,signal_confidence,horizon_days,stock_return,spy_return,alpha
134,James A. Himes,House,BAC,BUY,2026-07-20,2026-07-20,5,"$1,001 - $15,000",50.8,0,,,
297,William R. Timmons,House,SPCX,BUY,2026-07-19,2026-07-19,10,"$1,001 - $15,000",50.8,0,,,
180,Laurel Lee,House,GE,BUY,2026-07-19,2026-07-19,18,"$1,001 - $15,000",50.8,0,,,
298,William R. Timmons,House,SPCX,BUY,2026-07-19,2026-07-19,15,"$1,001 - $15,000",50.8,0,,,
241,Dan Newhouse,House,FIS,BUY,2026-07-17,2026-07-17,21,"$1,001 - $15,000",50.8,0,,,
132,Kevin Hern,House,XOM,BUY,2026-07-16,2026-07-16,30,"$1,001 - $15,000",50.8,0,,,
49,Daniel Crenshaw,House,USOU,BUY,2026-07-16,2026-07-16,9,"$1,001 - $15,000",50.8,0,,,
97,Cleo Fields,House,NVDA,BUY,2026-07-16,2026-07-16,3,"$1,001 - $15,000",50.8,0,,,
8,Richard W. Allen,House,L,BUY,2026-07-15,2026-07-15,17,"$1,001 - $15,000",50.8,0,,,
83,Byron Donalds,House,CDNS,BUY,2026-07-15,2026-07-15,25,"$1,001 - $15,000",50.8,0,,,
142,Jonathan Jackson,House,SPHR,BUY,2026-07-15,2026-07-15,2,"$1,001 - $15,000",50.8,0,,,
69,Debbie Dingell,House,HON,BUY,2026-07-15,2026-07-15,2,"$1,001 - $15,000",50.8,0,,,
155,Thomas H. Kean,House,EQT,BUY,2026-07-15,2026-07-15,18,"$1,001 - $15,000",50.8,0,,,
306,Debbie Wasserman Schultz,House,ICHR,BUY,2026-07-14,2026-07-14,16,"$1,001 - $15,000",50.8,0,,,
38,Katherine M. Clark,House,AK,BUY,2026-07-14,2026-07-14,9,"$1,001 - $15,000",50.8,0,,,
176,Rick Larsen,House,ABT,BUY,2026-07-12,2026-07-12,1,"$1,001 - $15,000",50.8,0,,,
144,John James,House,SPCX,BUY,2026-07-12,2026-07-12,3,"$1,001 - $15,000",50.8,0,,,
107,Virginia Foxx,House,ARLP,BUY,2026-07-10,2026-07-10,14,"$1,001 - $15,000",50.8,0,,,
311,Robert J. Wittman,House,CCI,BUY,2026-07-10,2026-07-10,44,"$1,001 - $15,000",50.8,0,,,
200,Richard Dean Dr McCormick,House,ABT,BUY,2026-07-09,2026-07-09,7,"$1,001 - $15,000",50.8,0,,,
223,Tim Moore,House,DASH,BUY,2026-07-09,2026-07-09,8,"$1,001 - $15,000",50.8,0,,,
204,John McGuire,House,SPCX,BUY,2026-07-08,2026-07-08,43,"$1,001 - $15,000",50.8,0,,,
182,Susie Lee,House,FLL,BUY,2026-07-08,2026-07-08,6,"$1,001 - $15,000",50.8,0,,,
299,Ritchie John Torres,House,MCK,BUY,2026-07-08,2026-07-08,13,"$1,001 - $15,000",50.8,0,,,
57,April McClain Delaney,House,ENTG,BUY,2026-07-07,2026-07-07,6,"$1,001 - $15,000",50.8,0,,,
117,Josh Gottheimer,House,BKNG,BUY,2026-07-07,2026-07-07,15,"$1,001 - $15,000",50.8,0,,,
269,Maria Elvira Salazar,House,BEP,BUY,2026-07-07,2026-07-07,42,"$1,001 - $15,000",50.8,0,,,
13,Nicholas Begich,House,E,BUY,2026-07-07,2026-07-07,30,"$1,001 - $15,000",50.8,0,,,
76,Lloyd Doggett,House,PPG,BUY,2026-07-06,2026-07-06,1,"$1,001 - $15,000",50.8,0,,,
37,Gilbert Cisneros,House,GIS,BUY,2026-07-02,2026-07-02,5,"$1,001 - $15,000",50.8,0,,,
